symbol,name,market,industry,themes,business_summary,source
000001.SZ,平安银行,A股,,,,akshare
000002.SZ,万  科Ａ,A股,,,,akshare
000004.SZ,国华退,A股,,,,akshare
000006.SZ,深振业Ａ,A股,,,,akshare
000007.SZ,全新好,A股,,,,akshare
000008.SZ,神州高铁,A股,,,,akshare
000009.SZ,中国宝安,A股,,,,akshare
000010.SZ,*ST美丽,A股,,,,akshare
000011.SZ,深物业A,A股,,,,akshare
000012.SZ,南  玻Ａ,A股,,,,akshare
000014.SZ,沙河股份,A股,,,,akshare
000016.SZ,*ST康佳A,A股,,,,akshare
000017.SZ,深中华A,A股,,,,akshare
000019.SZ,深粮控股,A股,,,,akshare
000020.SZ,深华发Ａ,A股,,,,akshare
000021.SZ,深科技,A股,,,,akshare
000025.SZ,特  力Ａ,A股,,,,akshare
000026.SZ,飞亚达,A股,,,,akshare
000027.SZ,深圳能源,A股,,,,akshare
000028.SZ,国药一致,A股,,,,akshare
000029.SZ,深深房Ａ,A股,,,,akshare
000030.SZ,富奥股份,A股,,,,akshare
000031.SZ,大悦城,A股,,,,akshare
000032.SZ,深桑达Ａ,A股,,,,akshare
000034.SZ,神州数码,A股,,,,akshare
000035.SZ,中国天楹,A股,,,,akshare
000036.SZ,华联控股,A股,,,,akshare
000037.SZ,深南电A,A股,,,,akshare
000039.SZ,中集集团,A股,,,,akshare
000042.SZ,中洲控股,A股,,,,akshare
000045.SZ,深纺织Ａ,A股,,,,akshare
000048.SZ,京基智农,A股,,,,akshare
000049.SZ,德赛电池,A股,,,,akshare
000050.SZ,深天马Ａ,A股,,,,akshare
000055.SZ,方大集团,A股,,,,akshare
000056.SZ,*ST皇庭,A股,,,,akshare
000058.SZ,深 赛 格,A股,,,,akshare
000059.SZ,华锦股份,A股,,,,akshare
000060.SZ,中金岭南,A股,,,,akshare
000061.SZ,农 产 品,A股,,,,akshare
000062.SZ,深圳华强,A股,,,,akshare
000063.SZ,中兴通讯,A股,,,,akshare
000065.SZ,北方国际,A股,,,,akshare
000066.SZ,中国长城,A股,,,,akshare
000068.SZ,华控赛格,A股,,,,akshare
000069.SZ,华侨城Ａ,A股,,,,akshare
000070.SZ,特发信息,A股,,,,akshare
000078.SZ,ST海王,A股,,,,akshare
000088.SZ,盐 田 港,A股,,,,akshare
000089.SZ,深圳机场,A股,,,,akshare
000090.SZ,天健集团,A股,,,,akshare
000096.SZ,广聚能源,A股,,,,akshare
000099.SZ,中信海直,A股,,,,akshare
000100.SZ,TCL科技,A股,,,,akshare
000151.SZ,中成股份,A股,,,,akshare
000153.SZ,丰原药业,A股,,,,akshare
000155.SZ,川能动力,A股,,,,akshare
000156.SZ,华数传媒,A股,,,,akshare
000157.SZ,中联重科,A股,,,,akshare
000158.SZ,常山北明,A股,,,,akshare
000159.SZ,国际实业,A股,,,,akshare
000166.SZ,申万宏源,A股,,,,akshare
000301.SZ,东方盛虹,A股,,,,akshare
000333.SZ,美的集团,A股,,,,akshare
000338.SZ,潍柴动力,A股,,,,akshare
000400.SZ,许继电气,A股,,,,akshare
000401.SZ,金隅冀东,A股,,,,akshare
000402.SZ,金 融 街,A股,,,,akshare
000403.SZ,派林生物,A股,,,,akshare
000404.SZ,长虹华意,A股,,,,akshare
000407.SZ,胜利股份,A股,,,,akshare
000408.SZ,藏格矿业,A股,,,,akshare
000409.SZ,云鼎科技,A股,,,,akshare
000410.SZ,沈阳机床,A股,,,,akshare
000411.SZ,英特集团,A股,,,,akshare
000415.SZ,渤海租赁,A股,,,,akshare
000417.SZ,合百集团,A股,,,,akshare
000419.SZ,通程控股,A股,,,,akshare
000420.SZ,吉林化纤,A股,,,,akshare
000421.SZ,南京公用,A股,,,,akshare
000422.SZ,湖北宜化,A股,,,,akshare
000423.SZ,东阿阿胶,A股,,,,akshare
000425.SZ,徐工机械,A股,,,,akshare
000426.SZ,兴业银锡,A股,,,,akshare
000428.SZ,华天酒店,A股,,,,akshare
000429.SZ,粤高速Ａ,A股,,,,akshare
000430.SZ,张家界,A股,,,,akshare
000488.SZ,ST晨鸣,A股,,,,akshare
000498.SZ,山东路桥,A股,,,,akshare
000501.SZ,武商集团,A股,,,,akshare
000503.SZ,国新健康,A股,,,,akshare
000504.SZ,南华生物,A股,,,,akshare
000505.SZ,京粮控股,A股,,,,akshare
000506.SZ,招金黄金,A股,,,,akshare
000507.SZ,珠海港,A股,,,,akshare
000509.SZ,华塑控股,A股,,,,akshare
000510.SZ,新金路,A股,,,,akshare
000513.SZ,丽珠集团,A股,,,,akshare
000514.SZ,渝 开 发,A股,,,,akshare
000516.SZ,国际医学,A股,,,,akshare
000517.SZ,荣安地产,A股,,,,akshare
000518.SZ,四环生物,A股,,,,akshare
000519.SZ,中兵红箭,A股,,,,akshare
000520.SZ,凤凰航运,A股,,,,akshare
000521.SZ,长虹美菱,A股,,,,akshare
000523.SZ,红棉股份,A股,,,,akshare
000524.SZ,岭南控股,A股,,,,akshare
000525.SZ,红太阳,A股,,,,akshare
000526.SZ,学大教育,A股,,,,akshare
000528.SZ,柳    工,A股,,,,akshare
000529.SZ,广弘控股,A股,,,,akshare
000530.SZ,冰山冷热,A股,,,,akshare
000531.SZ,穗恒运Ａ,A股,,,,akshare
000532.SZ,华金资本,A股,,,,akshare
000533.SZ,顺钠股份,A股,,,,akshare
000534.SZ,万泽股份,A股,,,,akshare
000536.SZ,华映科技,A股,,,,akshare
000537.SZ,绿发电力,A股,,,,akshare
000538.SZ,云南白药,A股,,,,akshare
000539.SZ,粤电力Ａ,A股,,,,akshare
000541.SZ,佛山照明,A股,,,,akshare
000543.SZ,皖能电力,A股,,,,akshare
000544.SZ,中原环保,A股,,,,akshare
000545.SZ,金浦钛业,A股,,,,akshare
000546.SZ,金圆股份,A股,,,,akshare
000547.SZ,航天发展,A股,,,,akshare
000548.SZ,湖南投资,A股,,,,akshare
000550.SZ,江铃汽车,A股,,,,akshare
000551.SZ,创元科技,A股,,,,akshare
000552.SZ,甘肃能化,A股,,,,akshare
000553.SZ,安道麦A,A股,,,,akshare
000554.SZ,泰山石油,A股,,,,akshare
000555.SZ,神州信息,A股,,,,akshare
000557.SZ,西部创业,A股,,,,akshare
000558.SZ,天府文旅,A股,,,,akshare
000559.SZ,万向钱潮,A股,,,,akshare
000560.SZ,我爱我家,A股,,,,akshare
000561.SZ,烽火电子,A股,,,,akshare
000563.SZ,陕国投Ａ,A股,,,,akshare
000564.SZ,供销大集,A股,,,,akshare
000565.SZ,渝三峡Ａ,A股,,,,akshare
000566.SZ,海南海药,A股,,,,akshare
000567.SZ,海德股份,A股,,,,akshare
000568.SZ,泸州老窖,A股,,,,akshare
000570.SZ,苏常柴Ａ,A股,,,,akshare
000571.SZ,新大洲A,A股,,,,akshare
000572.SZ,海马汽车,A股,,,,akshare
000573.SZ,粤宏远Ａ,A股,,,,akshare
000576.SZ,甘化科工,A股,,,,akshare
000581.SZ,威孚高科,A股,,,,akshare
000582.SZ,北部湾港,A股,,,,akshare
000586.SZ,汇源通信,A股,,,,akshare
000589.SZ,贵州轮胎,A股,,,,akshare
000590.SZ,古汉医药,A股,,,,akshare
000591.SZ,太阳能,A股,,,,akshare
000592.SZ,平潭发展,A股,,,,akshare
000593.SZ,德龙汇能,A股,,,,akshare
000595.SZ,*ST宝实,A股,,,,akshare
000596.SZ,古井贡酒,A股,,,,akshare
000597.SZ,东北制药,A股,,,,akshare
000598.SZ,兴蓉环境,A股,,,,akshare
000599.SZ,青岛双星,A股,,,,akshare
000600.SZ,建投能源,A股,,,,akshare
000601.SZ,韶能股份,A股,,,,akshare
000603.SZ,盛达资源,A股,,,,akshare
000605.SZ,渤海股份,A股,,,,akshare
000607.SZ,华媒控股,A股,,,,akshare
000608.SZ,阳光股份,A股,,,,akshare
000609.SZ,*ST中迪,A股,,,,akshare
000610.SZ,*ST西旅,A股,,,,akshare
000612.SZ,焦作万方,A股,,,,akshare
000615.SZ,*ST美谷,A股,,,,akshare
000617.SZ,中油资本,A股,,,,akshare
000619.SZ,海螺新材,A股,,,,akshare
000620.SZ,盈新发展,A股,,,,akshare
000623.SZ,吉林敖东,A股,,,,akshare
000625.SZ,长安汽车,A股,,,,akshare
000626.SZ,远大控股,A股,,,,akshare
000628.SZ,高新发展,A股,,,,akshare
000629.SZ,钒钛股份,A股,,,,akshare
000630.SZ,铜陵有色,A股,,,,akshare
000631.SZ,顺发恒能,A股,,,,akshare
000632.SZ,ST三木,A股,,,,akshare
000633.SZ,合金投资,A股,,,,akshare
000635.SZ,英 力 特,A股,,,,akshare
000636.SZ,风华高科,A股,,,,akshare
000637.SZ,茂化实华,A股,,,,akshare
000639.SZ,ST西王,A股,,,,akshare
000650.SZ,仁和药业,A股,,,,akshare
000651.SZ,格力电器,A股,,,,akshare
000652.SZ,泰达股份,A股,,,,akshare
000655.SZ,金岭矿业,A股,,,,akshare
000656.SZ,*ST金科,A股,,,,akshare
000657.SZ,中钨高新,A股,,,,akshare
000659.SZ,珠海中富,A股,,,,akshare
000661.SZ,长春高新,A股,,,,akshare
000663.SZ,永安林业,A股,,,,akshare
000665.SZ,湖北广电,A股,,,,akshare
000668.SZ,荣丰控股,A股,,,,akshare
000669.SZ,ST金鸿,A股,,,,akshare
000670.SZ,盈方微,A股,,,,akshare
000672.SZ,上峰材料,A股,,,,akshare
000676.SZ,智度股份,A股,,,,akshare
000677.SZ,ST海龙,A股,,,,akshare
000678.SZ,襄阳轴承,A股,,,,akshare
000679.SZ,大连友谊,A股,,,,akshare
000680.SZ,山推股份,A股,,,,akshare
000681.SZ,视觉中国,A股,,,,akshare
000682.SZ,东方电子,A股,,,,akshare
000683.SZ,博源化工,A股,,,,akshare
000685.SZ,中山公用,A股,,,,akshare
000686.SZ,东北证券,A股,,,,akshare
000688.SZ,国城矿业,A股,,,,akshare
000690.SZ,宝新能源,A股,,,,akshare
000691.SZ,亚太实业,A股,,,,akshare
000692.SZ,惠天热电,A股,,,,akshare
000695.SZ,滨海能源,A股,,,,akshare
000697.SZ,炼石航空,A股,,,,akshare
000698.SZ,ST沈化,A股,,,,akshare
000700.SZ,模塑科技,A股,,,,akshare
000701.SZ,厦门信达,A股,,,,akshare
000702.SZ,正虹科技,A股,,,,akshare
000703.SZ,恒逸石化,A股,,,,akshare
000705.SZ,浙江震元,A股,,,,akshare
000707.SZ,双环科技,A股,,,,akshare
000708.SZ,中信特钢,A股,,,,akshare
000709.SZ,河钢股份,A股,,,,akshare
000710.SZ,贝瑞基因,A股,,,,akshare
000711.SZ,ST京蓝,A股,,,,akshare
000712.SZ,锦龙股份,A股,,,,akshare
000713.SZ,国投丰乐,A股,,,,akshare
000715.SZ,中兴商业,A股,,,,akshare
000716.SZ,黑芝麻,A股,,,,akshare
000717.SZ,中南股份,A股,,,,akshare
000718.SZ,苏宁环球,A股,,,,akshare
000719.SZ,中原传媒,A股,,,,akshare
000720.SZ,新能泰山,A股,,,,akshare
000721.SZ,西安饮食,A股,,,,akshare
000722.SZ,湖南发展,A股,,,,akshare
000723.SZ,美锦能源,A股,,,,akshare
000725.SZ,京东方Ａ,A股,,,,akshare
000726.SZ,鲁  泰Ａ,A股,,,,akshare
000727.SZ,冠捷科技,A股,,,,akshare
000728.SZ,国元证券,A股,,,,akshare
000729.SZ,燕京啤酒,A股,,,,akshare
000731.SZ,四川美丰,A股,,,,akshare
000733.SZ,振华科技,A股,,,,akshare
000735.SZ,罗 牛 山,A股,,,,akshare
000736.SZ,中交发展,A股,,,,akshare
000737.SZ,北方铜业,A股,,,,akshare
000738.SZ,航发控制,A股,,,,akshare
000739.SZ,普洛药业,A股,,,,akshare
000750.SZ,国海证券,A股,,,,akshare
000751.SZ,锌业股份,A股,,,,akshare
000752.SZ,*ST西发,A股,,,,akshare
000753.SZ,漳州发展,A股,,,,akshare
000755.SZ,山西高速,A股,,,,akshare
000756.SZ,新华制药,A股,,,,akshare
000757.SZ,浩物股份,A股,,,,akshare
000758.SZ,中色股份,A股,,,,akshare
000759.SZ,中百集团,A股,,,,akshare
000761.SZ,本钢板材,A股,,,,akshare
000762.SZ,西藏矿业,A股,,,,akshare
000766.SZ,通化金马,A股,,,,akshare
000767.SZ,晋控电力,A股,,,,akshare
000768.SZ,中航西飞,A股,,,,akshare
000776.SZ,广发证券,A股,,,,akshare
000777.SZ,中核科技,A股,,,,akshare
000778.SZ,新兴铸管,A股,,,,akshare
000779.SZ,甘咨询,A股,,,,akshare
000782.SZ,恒申新材,A股,,,,akshare
000783.SZ,长江证券,A股,,,,akshare
000785.SZ,居然智家,A股,,,,akshare
000786.SZ,北新建材,A股,,,,akshare
000788.SZ,北大医药,A股,,,,akshare
000789.SZ,万年青,A股,,,,akshare
000790.SZ,华神科技,A股,,,,akshare
000791.SZ,甘肃能源,A股,,,,akshare
000792.SZ,盐湖股份,A股,,,,akshare
000793.SZ,*ST华闻,A股,,,,akshare
000795.SZ,英洛华,A股,,,,akshare
000796.SZ,凯撒旅业,A股,,,,akshare
000797.SZ,中国武夷,A股,,,,akshare
000798.SZ,中水渔业,A股,,,,akshare
000799.SZ,酒鬼酒,A股,,,,akshare
000800.SZ,一汽解放,A股,,,,akshare
000801.SZ,四川九洲,A股,,,,akshare
000802.SZ,北京文化,A股,,,,akshare
000803.SZ,山高环能,A股,,,,akshare
000807.SZ,云铝股份,A股,,,,akshare
000809.SZ,和展能源,A股,,,,akshare
000810.SZ,创维数字,A股,,,,akshare
000811.SZ,冰轮环境,A股,,,,akshare
000812.SZ,陕西金叶,A股,,,,akshare
000813.SZ,德展健康,A股,,,,akshare
000815.SZ,美利云,A股,,,,akshare
000816.SZ,智慧农业,A股,,,,akshare
000818.SZ,航锦科技,A股,,,,akshare
000819.SZ,岳阳兴长,A股,,,,akshare
000820.SZ,*ST节能,A股,,,,akshare
000821.SZ,ST京机,A股,,,,akshare
000822.SZ,山东海化,A股,,,,akshare
000823.SZ,超声电子,A股,,,,akshare
000825.SZ,太钢不锈,A股,,,,akshare
000826.SZ,*ST启环,A股,,,,akshare
000828.SZ,东莞控股,A股,,,,akshare
000829.SZ,天音控股,A股,,,,akshare
000830.SZ,鲁西化工,A股,,,,akshare
000831.SZ,中国稀土,A股,,,,akshare
000833.SZ,粤桂股份,A股,,,,akshare
000837.SZ,秦川机床,A股,,,,akshare
000838.SZ,*ST发展,A股,,,,akshare
000839.SZ,国安股份,A股,,,,akshare
000848.SZ,承德露露,A股,,,,akshare
000850.SZ,华茂股份,A股,,,,akshare
000852.SZ,石化机械,A股,,,,akshare
000856.SZ,冀东装备,A股,,,,akshare
000858.SZ,五 粮 液,A股,,,,akshare
000859.SZ,国风新材,A股,,,,akshare
000860.SZ,顺鑫农业,A股,,,,akshare
000862.SZ,银星能源,A股,,,,akshare
000863.SZ,三湘印象,A股,,,,akshare
000868.SZ,安凯客车,A股,,,,akshare
000869.SZ,张  裕Ａ,A股,,,,akshare
000875.SZ,电投绿能,A股,,,,akshare
000876.SZ,新 希 望,A股,,,,akshare
000877.SZ,天山股份,A股,,,,akshare
000878.SZ,云南铜业,A股,,,,akshare
000880.SZ,潍柴重机,A股,,,,akshare
000881.SZ,中广核技,A股,,,,akshare
000882.SZ,华联股份,A股,,,,akshare
000883.SZ,湖北能源,A股,,,,akshare
000885.SZ,城发环境,A股,,,,akshare
000886.SZ,海南高速,A股,,,,akshare
000887.SZ,中鼎股份,A股,,,,akshare
000888.SZ,峨眉山Ａ,A股,,,,akshare
000889.SZ,中嘉博创,A股,,,,akshare
000890.SZ,法尔胜,A股,,,,akshare
000892.SZ,欢瑞世纪,A股,,,,akshare
000893.SZ,亚钾国际,A股,,,,akshare
000895.SZ,双汇发展,A股,,,,akshare
000897.SZ,津滨发展,A股,,,,akshare
000898.SZ,鞍钢股份,A股,,,,akshare
000899.SZ,赣能股份,A股,,,,akshare
000900.SZ,现代投资,A股,,,,akshare
000901.SZ,航天科技,A股,,,,akshare
000902.SZ,新洋丰,A股,,,,akshare
000903.SZ,ST云动,A股,,,,akshare
000905.SZ,厦门港务,A股,,,,akshare
000906.SZ,浙商中拓,A股,,,,akshare
000908.SZ,景峰医药,A股,,,,akshare
000909.SZ,*ST数源,A股,,,,akshare
000910.SZ,大亚圣象,A股,,,,akshare
000911.SZ,*ST广糖,A股,,,,akshare
000912.SZ,泸天化,A股,,,,akshare
000913.SZ,钱江摩托,A股,,,,akshare
000915.SZ,华特达因,A股,,,,akshare
000917.SZ,电广传媒,A股,,,,akshare
000919.SZ,金陵药业,A股,,,,akshare
000920.SZ,沃顿科技,A股,,,,akshare
000921.SZ,海信家电,A股,,,,akshare
000922.SZ,佳电股份,A股,,,,akshare
000923.SZ,河钢资源,A股,,,,akshare
000925.SZ,众合科技,A股,,,,akshare
000926.SZ,福星股份,A股,,,,akshare
000927.SZ,中国铁物,A股,,,,akshare
000928.SZ,中钢国际,A股,,,,akshare
000929.SZ,兰州黄河,A股,,,,akshare
000930.SZ,中粮科技,A股,,,,akshare
000931.SZ,中 关 村,A股,,,,akshare
000932.SZ,华菱钢铁,A股,,,,akshare
000933.SZ,神火股份,A股,,,,akshare
000935.SZ,四川双马,A股,,,,akshare
000936.SZ,华西股份,A股,,,,akshare
000937.SZ,冀中能源,A股,,,,akshare
000938.SZ,紫光股份,A股,,,,akshare
000948.SZ,南天信息,A股,,,,akshare
000949.SZ,新乡化纤,A股,,,,akshare
000950.SZ,重药控股,A股,,,,akshare
000951.SZ,中国重汽,A股,,,,akshare
000952.SZ,广济药业,A股,,,,akshare
000953.SZ,中哲精化,A股,,,,akshare
000955.SZ,欣龙控股,A股,,,,akshare
000957.SZ,中通客车,A股,,,,akshare
000958.SZ,电投产融,A股,,,,akshare
000959.SZ,首钢股份,A股,,,,akshare
000960.SZ,锡业股份,A股,,,,akshare
000962.SZ,东方钽业,A股,,,,akshare
000963.SZ,华东医药,A股,,,,akshare
000965.SZ,天保基建,A股,,,,akshare
000966.SZ,长源电力,A股,,,,akshare
000967.SZ,盈峰环境,A股,,,,akshare
000968.SZ,蓝焰控股,A股,,,,akshare
000969.SZ,安泰科技,A股,,,,akshare
000970.SZ,中科三环,A股,,,,akshare
000972.SZ,中基健康,A股,,,,akshare
000973.SZ,佛塑科技,A股,,,,akshare
000975.SZ,山金国际,A股,,,,akshare
000977.SZ,浪潮信息,A股,,,,akshare
000978.SZ,桂林旅游,A股,,,,akshare
000980.SZ,众泰汽车,A股,,,,akshare
000981.SZ,山子高科,A股,,,,akshare
000983.SZ,山西焦煤,A股,,,,akshare
000985.SZ,大庆华科,A股,,,,akshare
000987.SZ,越秀资本,A股,,,,akshare
000988.SZ,华工科技,A股,,,,akshare
000989.SZ,九芝堂,A股,,,,akshare
000990.SZ,诚志股份,A股,,,,akshare
000993.SZ,闽东电力,A股,,,,akshare
000995.SZ,皇台酒业,A股,,,,akshare
000997.SZ,新 大 陆,A股,,,,akshare
000998.SZ,隆平高科,A股,,,,akshare
000999.SZ,华润三九,A股,,,,akshare
001201.SZ,东瑞股份,A股,,,,akshare
001202.SZ,炬申股份,A股,,,,akshare
001203.SZ,大中矿业,A股,,,,akshare
001205.SZ,盛航股份,A股,,,,akshare
001206.SZ,依依股份,A股,,,,akshare
001207.SZ,联科科技,A股,,,,akshare
001208.SZ,华菱线缆,A股,,,,akshare
001209.SZ,洪兴股份,A股,,,,akshare
001210.SZ,金房能源,A股,,,,akshare
001211.SZ,双枪科技,A股,,,,akshare
001212.SZ,中旗新材,A股,,,,akshare
001213.SZ,中铁特货,A股,,,,akshare
001215.SZ,千味央厨,A股,,,,akshare
001216.SZ,华瓷股份,A股,,,,akshare
001217.SZ,华尔泰,A股,,,,akshare
001218.SZ,丽臣实业,A股,,,,akshare
001219.SZ,青岛食品,A股,,,,akshare
001220.SZ,世盟股份,A股,,,,akshare
001221.SZ,悍高集团,A股,,,,akshare
001222.SZ,源飞宠物,A股,,,,akshare
001223.SZ,欧克科技,A股,,,,akshare
001225.SZ,和泰机电,A股,,,,akshare
001226.SZ,拓山重工,A股,,,,akshare
001227.SZ,兰州银行,A股,,,,akshare
001228.SZ,永泰运,A股,,,,akshare
001229.SZ,魅视科技,A股,,,,akshare
001230.SZ,劲旅环境,A股,,,,akshare
001231.SZ,农心科技,A股,,,,akshare
001233.SZ,海安集团,A股,,,,akshare
001234.SZ,泰慕士,A股,,,,akshare
001236.SZ,弘业期货,A股,,,,akshare
001237.SZ,惠康科技,A股,,,,akshare
001238.SZ,浙江正特,A股,,,,akshare
001239.SZ,永达股份,A股,,,,akshare
001255.SZ,博菲电气,A股,,,,akshare
001256.SZ,炜冈科技,A股,,,,akshare
001257.SZ,盛龙股份,A股,,,,akshare
001258.SZ,立新能源,A股,,,,akshare
001259.SZ,利仁科技,A股,,,,akshare
001260.SZ,坤泰股份,A股,,,,akshare
001266.SZ,宏英智能,A股,,,,akshare
001267.SZ,汇绿生态,A股,,,,akshare
001268.SZ,联合精密,A股,,,,akshare
001269.SZ,欧晶科技,A股,,,,akshare
001270.SZ,铖昌科技,A股,,,,akshare
001277.SZ,速达股份,A股,,,,akshare
001278.SZ,一彬科技,A股,,,,akshare
001279.SZ,强邦新材,A股,,,,akshare
001280.SZ,中国铀业,A股,,,,akshare
001282.SZ,三联锻造,A股,,,,akshare
001283.SZ,豪鹏科技,A股,,,,akshare
001285.SZ,瑞立科密,A股,,,,akshare
001286.SZ,陕西能源,A股,,,,akshare
001287.SZ,中电港,A股,,,,akshare
